,geohydro_pflash,geohydro_pbinary,undisc_pflash,undisc_pbinary,NF-EGS_pflash,NF-EGS_pbinary,deep-egs_pflash,deep-egs_pbinary
2010,1,1,1,1,1,1,1,1
2011,1,1,1,1,1,1,1,1
2012,1,1,1,1,1,1,1,1
2013,1,1,1,1,1,1,1,1
2014,1,1,1,1,1,1,1,1
2015,1,1,1,1,1,1,1,1
2016,1,1,1,1,1,1,1,1
2017,1,1,1,1,1,1,1,1
2018,1,1,1,1,1,1,1,1
2019,1,1,1,1,1,1,1,1
2020,1,1,1,1,1,1,1,1
2021,0.977670793,0.981392651,0.977670793,0.981392651,0.921097315,0.916367761,0.921097315,0.916367761
2022,0.955341585,0.962785302,0.955341585,0.962785302,0.84219463,0.832735521,0.84219463,0.832735521
2023,0.933012378,0.944177952,0.933012378,0.944177952,0.763291944,0.749103282,0.763291944,0.749103282
2024,0.91068317,0.925570603,0.91068317,0.925570603,0.684389259,0.665471043,0.684389259,0.665471043
2025,0.888353963,0.906963254,0.888353963,0.906963254,0.605486574,0.581838804,0.605486574,0.581838804
2026,0.866024755,0.888355905,0.866024755,0.888355905,0.526583889,0.498206564,0.526583889,0.498206564
2027,0.843695548,0.869748556,0.843695548,0.869748556,0.447681204,0.414574325,0.447681204,0.041457432
2028,0.82136634,0.851141207,0.82136634,0.851141207,0.368778518,0.330942086,0.368778518,0.033094209
2029,0.799037133,0.832533857,0.799037133,0.832533857,0.289875833,0.247309846,0.289875833,0.024730985
2030,0.776707925,0.813926508,0.776707925,0.813926508,0.210973148,0.163677607,0.210973148,0.016367761
2031,0.772824385,0.809856876,0.772824385,0.809856876,0.209918282,0.162859219,0.209918282,0.016285922
2032,0.768960263,0.805807591,0.768960263,0.805807591,0.208868691,0.162044923,0.208868691,0.016204492
2033,0.765115462,0.801778553,0.765115462,0.801778553,0.207824347,0.161234698,0.207824347,0.01612347
2034,0.761289885,0.797769661,0.761289885,0.797769661,0.206785226,0.160428525,0.206785226,0.016042852
2035,0.757483435,0.793780812,0.757483435,0.793780812,0.205751299,0.159626382,0.205751299,0.015962638
2036,0.753696018,0.789811908,0.753696018,0.789811908,0.204722543,0.15882825,0.204722543,0.015882825
2037,0.749927538,0.785862849,0.749927538,0.785862849,0.20369893,0.158034109,0.20369893,0.015803411
2038,0.7461779,0.781933534,0.7461779,0.781933534,0.202680436,0.157243939,0.202680436,0.015724394
2039,0.742447011,0.778023867,0.742447011,0.778023867,0.201667033,0.156457719,0.201667033,0.015645772
2040,0.738734776,0.774133747,0.738734776,0.774133747,0.200658698,0.15567543,0.200658698,0.015567543
2041,0.735041102,0.770263079,0.735041102,0.770263079,0.199655405,0.154897053,0.199655405,0.015489705
2042,0.731365896,0.766411763,0.731365896,0.766411763,0.198657128,0.154122568,0.198657128,0.015412257
2043,0.727709067,0.762579704,0.727709067,0.762579704,0.197663842,0.153351955,0.197663842,0.015335196
2044,0.724070522,0.758766806,0.724070522,0.758766806,0.196675523,0.152585195,0.196675523,0.01525852
2045,0.720450169,0.754972972,0.720450169,0.754972972,0.195692145,0.151822269,0.195692145,0.015182227
2046,0.716847918,0.751198107,0.716847918,0.751198107,0.194713685,0.151063158,0.194713685,0.015106316
2047,0.713263679,0.747442117,0.713263679,0.747442117,0.193740116,0.150307842,0.193740116,0.015030784
2048,0.70969736,0.743704906,0.70969736,0.743704906,0.192771416,0.149556303,0.192771416,0.01495563
2049,0.706148873,0.739986381,0.706148873,0.739986381,0.191807558,0.148808521,0.191807558,0.014880852
2050,0.702618129,0.73628645,0.702618129,0.73628645,0.190848521,0.148064479,0.190848521,0.014806448
